Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.02,-0.14,-0.06,0.21,0.27,0.1,0,0.67,102.48,-50.61,-19.56,48.65,-19.09,55.8,1,1,11,2.94,1.21,12.7,-36.2,-8.7,,,0
0.35,,,,0.31,,0.38,,167.66,42.43,-0.22,-0.49,-36.46,36.46,1,1,10,7.7,0.77,2.1,13.1,5.9,5617,4.51,0
-0.35,-0.45,-0.24,-0.13,-0.22,-0.24,-0.25,-0.1,299.64,7.92,2.38,5.86,94.74,94.95,1,1,10,6.77,0.9,28.6,47.5,-14.9,5002,3.13,0
-0.01,0.07,0.13,0.02,-0.01,0.03,0.22,0.85,299.64,-54.94,0.36,0.9,23.58,23.6,0,1,13,8.54,1.05,9999,9999,9999,4739.5,4.33,0
-0.04,-0.27,-0.07,-0.06,0.06,0.01,-0.05,0.3,201.57,46.03,-44.58,-24.78,99.18,111.53,1,1,10,5.88,0.99,20.7,4.4,6.1,,,0
-0.05,-0.11,,-0.05,-0.03,0.01,0.08,,299.67,-19.94,-7.64,-20.56,-41.65,47.07,0,1,11,9.38,0.87,9999,9999,9999,5094,4.36,0
-0.17,-0.46,-0.56,-0.07,0.42,0.14,-0.33,2.06,299.69,19.49,-20.97,-60.67,48.05,80.18,1,0,0,3.47,1.57,-35.8,-19.4,-13.7,3944.4,1.25,0
-0.18,-0.08,-0.01,-0.18,-0.17,-0.11,0.02,0.43,201.66,-24.29,16.63,11.45,22.5,30.23,1,1,12,8.78,0.92,-42.2,-26.9,-8.2,4951.5,4.49,0
0.03,0.02,,-0.2,0.04,0.05,0.23,,102.6,-51.05,-18.34,33.7,-37.97,53.98,0,1,10,9.96,0.94,9999,9999,9999,4977,4.41,0
-0.1,0.06,0.13,-0.01,-0.04,-0.04,-0.07,-0.02,201.69,16.95,-19.47,-13.99,-69.97,73.96,1,3,38,8.01,0.51,-9.6,15.7,15,6115,,0
